"date","utm_source","utm_medium","utm_campaign","cost","visitors_count","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,21654,103,100,25,1654810
2023-06-01,yandex,cpc,prof-frontend,57138,78,73,12,1057000
2023-06-01,yandex,cpc,base-python,12524,31,28,7,476021
2023-06-01,yandex,cpc,prof-python,33026,62,61,7,613196
2023-06-01,vk,cpc,freemium-frontend,3160,80,43,5,338083
2023-06-01,vk,cpc,prof-python,2028,71,40,5,355564
2023-06-01,yandex,cpc,prof-java,29490,49,49,4,284590
2023-06-01,yandex,cpc,prof-professions-brand,4818,13,13,3,154287
2023-06-01,yandex,cpc,base-frontend,18061,40,39,3,268515
2023-06-01,vk,cpc,prof-java,3115,51,23,2,232726
2023-06-28,organic,organic,,,1481,2,2,328174
2023-06-20,google,organic,,,5142,4,2,163572
2023-06-01,yandex,cpc,prof-data-analytics,10086,14,14,2,220264
2023-06-02,google,organic,,,4063,1,1,59226
2023-06-01,vk,cpc,freemium-python,980,44,25,1,1560
2023-06-20,organic,organic,,,1474,2,1,31500
2023-06-10,google,organic,,,2342,1,1,1560
2023-06-20,telegram,cpp,base-java,,3,1,1,151192
2023-06-19,google,organic,,,373,2,1,9840
2023-06-01,yandex,cpc,base-java,19252,20,20,1,48000
