"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id","rn"
cc67c1f855c7cd738134f65c6b45ce2fdc40cfc1,2023-06-21 05:37:36.565,organic,organic,,"47589182",2023-06-22 08:26:20.000,268200,Успешная продажа,142,1
"883fe40b45518e8eebec57d815caffc4fa2c7993",2023-06-28 15:12:16.901,organic,organic,,"16809544",2023-06-29 13:39:51.000,265174,Успешная продажа,142,1
"35060e525ca62de0a0aa93992c7e07799d855f79",2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,"26066151",2023-06-15 12:52:40.000,237990,Успешная продажа,142,1
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec,2023-06-01 14:39:00.000,yandex,cpc,base-frontend,"74450379",2023-06-30 14:36:31.000,201150,Успешная продажа,142,1
ca003c89182365dd75262e54772fda03ee923e92,2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,"48838540",2023-06-20 20:49:16.000,189210,Успешная продажа,142,1
d31c95902f2d3183e7052c235ad72d82838e98c2,2023-06-01 10:44:00.000,yandex,cpc,freemium,"21579820",2023-06-19 15:28:22.000,188991,Успешная продажа,142,1
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4,2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,"23169912",2023-06-14 06:13:44.000,180306,Успешная продажа,142,1
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:41:00.000,vk,cpc,prof-java,"50769366",2023-06-15 11:43:46.000,178800,Успешная продажа,142,1
f2db2eb1295e51cf3426e4211172d839e7f93ddc,2023-06-01 19:39:00.000,yandex,cpc,prof-frontend,"25327894",2023-06-11 21:57:08.000,167625,Успешная продажа,142,1
bd5ad484a0cf7f80c1522009dd4ee3d825f35a46,2023-06-01 11:34:00.000,yandex,cpc,base-python,"73882489",2023-06-26 08:36:49.000,160920,Успешная продажа,142,1
